For genre: Thriller, output is :

The 1th concept is: 
                                   Actor	         Weight	
                             Texada, Tia	 0.626306080186	
                           Polley, Sarah	 0.626306080186	
                         Jovovich, Milla	 0.313153040093	
                           Cross, Joseph	 0.313153040093	
                         Romijn, Rebecca	-0.0424641036625	
                              Cook, A.J.	-0.0261057429133	
                                 Li, Jet	-0.0243702306502	
                           Curtis, Cliff	-0.0241113817502	
                      Downey Jr., Robert	-0.0224924944156	
                      Jackson, Samuel L.	-0.0224132115271	
                            Paxton, Bill	-0.0212946227517	
                       Rutherford, Kelly	-0.0206498532942	
                             Isitt, Kate	-0.0202969317603	
                         Forlani, Claire	-0.0202218540165	
                           Kinnear, Greg	-0.0202218540165	
                  McCole Bartusiak, Skye	-0.0202218540165	
                             Larter, Ali	-0.0202218540165	
                           Phifer, Mekhi	-0.0202218540165	
                           Thomas, Aaran	-0.0202218540165	
                        Turner, Frank C.	-0.0202218540165	
                           Russell, Kurt	-0.0202218540165	
                          Yoakam, Dwight	-0.0202218540165	
                         Phillippe, Ryan	-0.0202218540165	
                               Ryan, Meg	-0.0202218540165	
                           Burns, Edward	-0.0202218540165	
                            Blair, Selma	-0.0202218540165	
                             Lane, Diane	-0.0202218540165	
                         Nielsen, Connie	-0.0202218540165	
                     Dhavernas, Caroline	-0.0202218540165	
                          Chinlund, Nick	-0.0202218540165	
                           Brooks, Avery	-0.0202218540165	
                             Moore, Demi	-0.0189108478303	
                       Campbell, Jeremie	-0.0184717068522	
                          Dorff, Stephen	-0.0134571750674	
                            Robbins, Tim	-0.0131443754343	
                       Smith, Soloman K.	-0.012911137654	
                    Stahl-David, Michael	-0.0120556908751	
                         Toussaint, Beth	-0.0112462472078	
                      Washington, Isaiah	-0.0112066057636	
                          Lucas, Jessica	-0.0103249266471	
                       Slater, Christian	-0.0103014819528	
                           LaBeouf, Shia	-0.0102613313542	
                            Hanks, Colin	-0.0101109270082	
                          Cassidy, Katie	-0.0101109270082	
                                Gong, Li	-0.0101109270082	
                          Bilson, Rachel	-0.0101109270082	
                           Bon Jovi, Jon	-0.0101109270082	
                       Banderas, Antonio	-0.0101109270082	
                         Hounsou, Djimon	-0.0101109270082	
                         Landes, Michael	-0.0101109270082	
                               Daly, Tim	-0.0101109270082	
                           Reeves, Keanu	-0.0101109270082	
                           Cooper, Chris	-0.0101109270082	
                           Ruffalo, Mark	-0.0101109270082	
                           Linney, Laura	-0.0101109270082	
                        Whitaker, Forest	-0.0101109270082	
                                     DMX	-0.0101109270082	
                     Christensen, Hayden	-0.0101109270082	
                            Burke, Billy	-0.0101109270082	
                         Moore, Julianne	-0.0101109270082	
                            David, Keith	-0.0093214090504	
                        Palmer, Gretchen	-0.00903509997117	
                         Bright, Cameron	-0.00897145004495	
                            Miller, T.J.	-0.00876991136865	
                         Ulliel, Gaspard	-0.00812341021673	
                           Watson, Barry	-0.00749749813853	
                          Belle, Camilla	-0.00747107050904	
                      Andrieu, Sebastien	-0.00684088756947	
                         Mitchell, Radha	-0.0067656439201	
                        Edwards, Anthony	-0.00674061800549	
